gender;education type;locality;religion;how_often;generation;first_event
f;professional;city;yes;sev_a_year;6g;education
m;professional;city;no;never;11g;sep
f;professional;city;yes;min_once_a_month;9g;sep
f;general;city;no;never;5g;work
f;professional;city;yes;sev_a_year;8g;sep
m;higher;city;yes;min_once_a_month;2g;education
f;general;city;yes;sev_a_year;7g;work
f;professional;city;no;never;4g;work
f;professional;city;no;never;5g;work
f;higher;city;no;never;3g;sep
m;general;city;yes;sev_a_year;4g;work
m;higher;city;yes;never;5g;sep
m;professional;city;yes;never;9g;work
f;higher;city;no;never;3g;sep
m;higher;city;yes;sev_a_year;6g;partner
f;higher;city;yes;min_once_a_month;2g;sep
f;professional;city;yes;never;2g;work
f;higher;city;yes;sev_a_year;9g;work
f;general;city;yes;sev_a_year;7g;education
f;higher;city;yes;min_once_a_month;7g;marriage
f;professional;city;yes;never;2g;work
f;higher;city;no;sev_a_year;11g;work
m;higher;city;no;never;4g;sep
f;professional;city;yes;sev_a_year;4g;work
f;higher;city;no;never;5g;education
f;higher;city;yes;once_a_week;7g;marriage
f;general;city;yes;sev_a_year;3g;work
f;professional;city;yes;sev_a_year;4g;work
f;professional;city;yes;sev_a_year;9g;education
f;general;city;yes;sev_a_year;9g;education
f;general;city;yes;never;1g;education
f;general;city;yes;never;2g;education
f;professional;city;yes;sev_a_year;7g;marriage
f;general;city;no;sev_a_year;4g;work
f;higher;city;no;sev_a_year;7g;work
f;higher;city;yes;never;7g;work
f;professional;city;yes;never;5g;sep
f;general;city;yes;sev_a_year;3g;work
f;general;city;yes;sev_a_year;1g;marriage
f;higher;city;yes;sev_a_year;11g;marriage
f;higher;city;yes;sev_a_year;7g;work
f;professional;city;yes;sev_a_year;4g;education
m;professional;city;yes;sev_a_year;8g;education
f;general;city;yes;never;2g;work
f;professional;city;yes;sev_a_year;5g;education
m;general;city;no;never;7g;work
m;professional;city;no;never;3g;work
f;professional;city;yes;sev_a_year;1g;education
m;general;city;yes;sev_a_year;9g;sep
f;professional;city;yes;sev_a_year;8g;work
f;professional;city;yes;min_once_a_month;7g;work
f;higher;city;yes;never;7g;work
f;higher;city;yes;min_once_a_month;7g;work
f;professional;city;yes;sev_a_year;2g;work
f;professional;city;yes;sev_a_year;7g;partner
f;professional;city;no;never;6g;work
m;higher;city;no;sev_a_year;4g;work
f;higher;city;yes;sev_a_year;8g;education
f;higher;city;yes;sev_a_year;5g;sep
m;professional;city;no;never;5g;education
f;general;city;yes;never;9g;child
f;professional;city;yes;sev_a_year;9g;partner
f;professional;city;yes;sev_a_year;3g;education
f;professional;city;yes;sev_a_year;9g;work
m;general;city;yes;never;9g;education
f;professional;city;yes;never;8g;sep
m;professional;city;yes;never;9g;work
f;general;city;yes;min_once_a_month;2g;sep
f;general;city;yes;min_once_a_month;3g;education
m;professional;city;no;never;8g;work
m;higher;city;no;never;6g;sep
m;general;city;no;never;3g;work
f;professional;city;no;sev_a_year;11g;partner
f;higher;city;yes;sev_a_year;10g;work
m;professional;city;yes;sev_a_week;8g;sep
f;professional;city;yes;min_once_a_month;9g;education
m;professional;city;yes;never;11g;sep
f;higher;city;yes;never;2g;education
f;higher;city;yes;sev_a_year;9g;sep
f;higher;city;yes;never;1g;education
f;professional;city;yes;sev_a_year;2g;sep
f;higher;city;yes;sev_a_year;6g;work
f;higher;city;yes;sev_a_year;2g;sep
m;higher;city;no;never;5g;work
m;professional;city;no;sev_a_year;4g;sep
m;higher;city;no;never;1g;sep
f;higher;city;yes;min_once_a_month;9g;partner
f;higher;city;yes;sev_a_year;8g;education
f;general;city;yes;sev_a_year;6g;work
m;professional;city;no;never;10g;marriage
f;professional;city;yes;sev_a_year;6g;sep
f;professional;city;yes;min_once_a_month;6g;work
f;professional;city;yes;once_a_week;6g;education
m;professional;city;no;never;6g;sep
f;general;city;no;never;5g;work
f;general;city;yes;once_a_week;7g;work
f;general;city;yes;never;11g;work
f;higher;city;yes;sev_a_year;10g;work
f;professional;city;yes;sev_a_year;9g;work
m;general;city;yes;never;6g;work
f;higher;city;yes;sev_a_year;7g;sep
m;professional;city;yes;sev_a_year;9g;sep
m;professional;city;yes;sev_a_year;10g;sep
m;professional;city;yes;sev_a_year;7g;work
m;professional;city;no;never;8g;partner
f;professional;city;no;sev_a_year;10g;work
f;professional;city;no;never;3g;work
m;professional;city;no;never;1g;education
f;professional;city;yes;sev_a_year;4g;sep
f;professional;city;no;never;6g;education
f;professional;city;no;never;5g;sep
f;professional;city;yes;never;11g;sep
m;higher;city;yes;sev_a_year;5g;work
f;higher;city;yes;sev_a_year;11g;partner
f;higher;city;yes;never;6g;sep
f;higher;city;yes;min_once_a_month;6g;marriage
f;higher;city;yes;min_once_a_month;3g;sep
f;professional;city;yes;sev_a_year;2g;sep
f;professional;city;yes;sev_a_year;6g;work
f;higher;city;yes;never;3g;sep
f;professional;city;yes;sev_a_year;2g;work
m;professional;city;no;never;5g;work
f;professional;city;yes;sev_a_year;5g;sep
m;general;city;no;never;8g;education
m;professional;city;yes;sev_a_year;8g;partner
f;higher;city;no;never;7g;sep
f;professional;city;no;never;11g;education
m;professional;city;no;sev_a_year;10g;work
f;professional;city;yes;once_a_week;2g;work
m;professional;city;yes;sev_a_week;6g;education
m;professional;city;no;never;9g;work
m;professional;city;yes;sev_a_year;8g;education
f;general;city;yes;sev_a_year;11g;partner
f;higher;city;yes;sev_a_year;10g;work
m;professional;city;yes;never;8g;sep
f;higher;city;yes;never;7g;work
f;general;city;yes;min_once_a_month;5g;sep
f;professional;city;yes;never;7g;education
f;professional;city;yes;sev_a_year;9g;education
f;higher;city;yes;sev_a_year;4g;sep
f;higher;city;yes;sev_a_year;4g;sep
f;higher;city;yes;never;5g;sep
f;professional;city;yes;min_once_a_month;6g;sep
f;professional;city;yes;sev_a_year;4g;work
f;professional;city;yes;sev_a_year;6g;education
m;professional;city;yes;sev_a_year;9g;work
f;professional;city;yes;never;8g;sep
f;professional;city;yes;sev_a_year;10g;partner
m;higher;city;no;never;2g;sep
f;professional;city;no;never;5g;sep
f;professional;city;no;sev_a_week;2g;work
f;higher;city;no;never;6g;sep
f;general;city;no;never;9g;work
m;higher;city;no;never;8g;sep
f;higher;city;no;never;2g;education
f;higher;city;yes;sev_a_year;2g;work
f;higher;city;yes;never;10g;work
f;general;city;yes;sev_a_year;2g;sep
f;higher;city;yes;sev_a_year;7g;work
f;higher;city;yes;sev_a_year;5g;sep
f;professional;city;yes;never;1g;work
f;professional;city;yes;sev_a_year;5g;work
f;general;city;no;sev_a_year;4g;work
f;higher;city;yes;min_once_a_month;3g;work
m;higher;city;no;never;7g;sep
f;professional;city;no;never;8g;marriage
m;higher;city;yes;sev_a_year;10g;work
f;professional;city;yes;sev_a_year;5g;sep
f;higher;city;yes;sev_a_year;6g;sep
m;professional;city;yes;sev_a_year;8g;sep
f;professional;city;no;never;4g;work
f;general;city;yes;never;4g;work
f;professional;city;no;never;5g;work
f;higher;city;yes;never;10g;sep
m;professional;city;yes;sev_a_year;4g;work
f;general;city;yes;sev_a_year;2g;education
m;professional;city;no;never;5g;marriage
f;professional;city;no;never;5g;education
f;professional;city;yes;sev_a_year;5g;work
f;professional;city;no;never;8g;education
f;general;city;yes;never;6g;work
f;higher;city;yes;sev_a_year;5g;sep
f;higher;city;no;sev_a_year;7g;sep
f;higher;city;yes;sev_a_year;8g;work
f;higher;city;yes;sev_a_year;10g;education
f;higher;city;no;never;1g;education
m;higher;city;yes;sev_a_year;5g;work
f;higher;city;no;never;6g;work
f;general;city;yes;never;1g;sep
f;general;city;no;never;2g;work
f;higher;city;no;never;4g;work
f;general;city;yes;never;1g;education
f;professional;city;yes;sev_a_year;4g;work
f;higher;city;yes;sev_a_year;4g;sep
f;general;city;yes;sev_a_year;3g;work
m;higher;city;no;never;2g;sep
f;higher;city;yes;sev_a_year;5g;work
f;professional;city;yes;sev_a_year;6g;work
f;higher;city;yes;sev_a_year;10g;work
m;higher;city;yes;never;7g;sep
f;general;city;yes;min_once_a_month;1g;work
m;higher;city;no;never;3g;work
f;professional;city;yes;sev_a_year;8g;partner
m;professional;city;no;never;9g;education
m;professional;city;no;never;11g;education
f;higher;city;yes;sev_a_year;6g;work
f;higher;city;no;never;6g;sep
f;professional;city;yes;min_once_a_month;7g;education
m;higher;city;no;never;3g;sep
m;higher;city;no;never;7g;work
f;higher;city;yes;sev_a_year;4g;work
m;professional;city;yes;never;6g;sep
f;higher;city;no;never;1g;marriage
f;general;city;yes;never;6g;work
f;general;city;no;sev_a_year;2g;education
f;professional;city;yes;sev_a_year;9g;sep
f;professional;city;yes;never;10g;education
f;general;city;yes;sev_a_year;6g;work
m;professional;city;yes;never;8g;education
f;professional;city;yes;sev_a_year;1g;work
f;general;city;yes;sev_a_year;1g;education
m;higher;city;no;sev_a_year;8g;marriage
f;general;city;yes;sev_a_year;6g;education
f;professional;city;yes;sev_a_year;9g;work
f;professional;city;yes;min_once_a_month;5g;work
f;general;city;yes;sev_a_year;4g;work
m;higher;city;yes;min_once_a_month;11g;education
f;higher;city;yes;sev_a_year;9g;marriage
f;higher;city;yes;sev_a_year;7g;sep
m;higher;city;no;never;10g;sep
f;general;city;yes;min_once_a_month;5g;work
f;professional;city;yes;sev_a_year;2g;work
m;higher;city;yes;sev_a_year;10g;work
f;higher;city;yes;sev_a_year;4g;work
m;general;city;yes;sev_a_year;10g;work
f;professional;city;yes;sev_a_year;1g;work
f;professional;city;yes;sev_a_year;9g;education
f;professional;city;yes;sev_a_year;9g;work
f;professional;city;yes;sev_a_year;7g;work
f;professional;city;yes;sev_a_year;5g;work
f;higher;town;yes;sev_a_year;9g;education
m;professional;town;yes;sev_a_year;3g;work
f;professional;village;yes;sev_a_year;10g;education
f;general;village;yes;min_once_a_month;2g;education
f;professional;village;yes;sev_a_year;3g;sep
m;professional;city;no;sev_a_week;2g;work
f;professional;city;yes;sev_a_year;4g;work
m;higher;city;no;never;7g;education
f;higher;city;yes;min_once_a_month;7g;work
m;professional;city;yes;sev_a_year;6g;sep
f;professional;city;yes;sev_a_year;7g;sep
m;higher;city;no;never;7g;education
f;professional;city;yes;sev_a_year;11g;sep
f;higher;city;yes;sev_a_year;1g;work
f;professional;city;yes;sev_a_year;8g;sep
f;professional;city;yes;never;6g;sep
f;professional;city;yes;sev_a_year;6g;sep
m;general;city;yes;sev_a_year;8g;education
f;higher;city;yes;never;3g;work
f;general;city;yes;sev_a_year;1g;education
f;higher;city;yes;min_once_a_month;5g;work
f;higher;city;yes;sev_a_year;2g;work
m;higher;city;yes;sev_a_year;8g;sep
f;professional;city;yes;sev_a_year;1g;sep
m;higher;city;yes;sev_a_year;6g;sep
f;general;city;yes;sev_a_year;2g;sep
m;professional;city;yes;never;3g;sep
f;professional;city;yes;sev_a_year;11g;work
f;general;town;yes;sev_a_year;11g;sep
f;higher;town;no;never;10g;sep
m;professional;town;yes;sev_a_year;2g;sep
f;professional;city;yes;min_once_a_month;5g;work
f;professional;city;yes;sev_a_year;7g;work
f;professional;city;yes;sev_a_year;9g;education
f;higher;city;yes;sev_a_year;5g;work
f;professional;city;yes;sev_a_year;8g;education
f;professional;city;yes;sev_a_year;5g;education
f;professional;city;no;sev_a_year;1g;marriage
f;professional;city;yes;sev_a_year;4g;sep
f;professional;city;yes;sev_a_year;6g;education
f;higher;city;yes;sev_a_year;8g;sep
f;professional;city;yes;sev_a_week;2g;work
f;professional;city;yes;sev_a_year;5g;work
f;higher;city;yes;never;3g;partner
f;professional;city;no;sev_a_year;9g;work
f;higher;city;yes;sev_a_week;11g;sep
m;professional;city;no;never;7g;education
f;professional;city;yes;never;7g;partner
f;professional;city;yes;sev_a_year;6g;marriage
m;professional;city;yes;sev_a_year;1g;work
f;professional;city;yes;sev_a_year;3g;sep
f;higher;city;yes;sev_a_week;6g;sep
f;higher;city;yes;sev_a_year;5g;sep
f;professional;city;yes;sev_a_year;4g;sep
f;general;town;yes;sev_a_week;2g;work
f;general;village;yes;sev_a_year;1g;education
m;professional;village;yes;sev_a_year;5g;education
f;general;village;yes;once_a_week;5g;sep
f;professional;village;yes;sev_a_year;1g;education
m;professional;village;yes;never;4g;work
f;professional;village;yes;sev_a_year;2g;sep
f;professional;village;yes;sev_a_year;10g;sep
f;professional;village;yes;once_a_week;3g;marriage
f;general;city;yes;sev_a_year;10g;sep
f;higher;city;yes;never;4g;marriage
m;higher;city;yes;sev_a_year;7g;work
f;higher;city;no;never;8g;marriage
m;professional;city;yes;never;11g;education
f;professional;city;yes;min_once_a_month;9g;partner
f;professional;city;yes;sev_a_year;3g;work
f;higher;city;yes;min_once_a_month;11g;education
m;professional;city;no;never;1g;work
f;higher;city;no;never;5g;partner
f;general;city;yes;sev_a_year;1g;education
f;professional;city;yes;sev_a_year;6g;sep
f;general;city;yes;never;10g;education
f;higher;city;yes;sev_a_year;3g;marriage
m;professional;city;yes;sev_a_year;9g;education
f;professional;city;yes;sev_a_year;11g;education
f;general;city;yes;sev_a_year;2g;work
f;higher;village;no;never;5g;marriage
f;general;village;yes;min_once_a_month;3g;work
f;professional;village;yes;min_once_a_month;2g;work
f;higher;city;yes;sev_a_year;8g;education
f;higher;city;yes;min_once_a_month;6g;sep
f;higher;city;yes;sev_a_year;7g;marriage
f;professional;city;yes;min_once_a_month;7g;sep
f;professional;city;yes;sev_a_year;7g;sep
f;professional;city;yes;sev_a_year;5g;work
f;professional;city;yes;min_once_a_month;7g;work
f;professional;city;yes;once_a_week;3g;work
f;professional;city;yes;min_once_a_month;6g;work
f;professional;city;yes;sev_a_year;5g;sep
f;professional;city;yes;min_once_a_month;9g;partner
f;general;city;no;never;3g;work
m;higher;city;yes;never;8g;work
f;higher;city;yes;sev_a_year;2g;work
m;professional;city;no;never;5g;education
m;higher;city;yes;sev_a_year;4g;sep
f;higher;city;yes;sev_a_year;6g;work
m;professional;city;yes;never;9g;education
f;professional;city;no;sev_a_year;6g;work
m;higher;city;yes;sev_a_year;7g;sep
f;professional;city;yes;min_once_a_month;7g;work
f;professional;city;yes;min_once_a_month;6g;work
f;higher;city;yes;min_once_a_month;11g;education
f;higher;town;yes;sev_a_year;9g;work
f;professional;city;yes;never;8g;education
m;higher;city;yes;sev_a_year;6g;education
f;professional;village;yes;sev_a_year;7g;child
m;professional;village;yes;sev_a_year;8g;child
f;professional;city;yes;sev_a_year;8g;marriage
f;higher;village;yes;sev_a_year;7g;marriage
f;professional;village;yes;never;11g;marriage
f;higher;city;yes;sev_a_year;10g;marriage
m;professional;village;yes;sev_a_year;10g;marriage
f;professional;city;no;never;8g;marriage
f;professional;city;yes;never;2g;marriage
f;general;town;yes;sev_a_year;9g;sep
f;general;town;yes;never;2g;sep
f;professional;village;yes;never;9g;sep
f;professional;village;yes;sev_a_year;7g;sep
m;higher;city;yes;min_once_a_month;10g;sep
f;higher;city;yes;never;10g;sep
f;general;city;yes;never;6g;sep
m;higher;city;yes;sev_a_year;8g;sep
f;higher;city;yes;sev_a_year;10g;sep
f;higher;city;yes;sev_a_year;5g;sep
f;higher;city;yes;sev_a_year;10g;sep
m;higher;village;yes;min_once_a_month;8g;sep
f;general;village;no;never;6g;sep
f;professional;village;yes;sev_a_year;8g;sep
f;general;village;no;never;7g;sep
f;professional;village;no;never;5g;sep
f;professional;village;no;never;5g;sep
f;higher;village;yes;sev_a_year;7g;sep
f;higher;village;no;never;10g;sep
f;professional;village;yes;never;7g;sep
f;general;village;no;never;7g;sep
f;professional;village;no;never;10g;sep
f;higher;city;yes;sev_a_year;5g;sep
f;higher;city;yes;sev_a_year;7g;sep
f;professional;city;no;never;3g;sep
f;higher;city;yes;sev_a_year;10g;sep
f;professional;village;yes;never;6g;sep
m;general;village;yes;never;5g;sep
